Headline,Summary,Category,Date Published,Link to Article
What you need to know about COVID-19 if you have diabetes,"Some data suggest that people with diabetes who get COVID-19 are more likely to have serious complications or to die. If you have diabetes, you need to take steps to reduce your risk of getting sick.","Robert Gabbay, MD, PhD, FACP","April 17, 2020",https://www.health.harvard.edu/blog/what-you-need-to-know-about-covid-19-if-you-have-diabetes-2020041719558
Will a good night’s sleep help my heart?,"Millions of Americans have trouble sleeping, a factor that is key to cardiovascular health. Two recent studies examined the relationship between sleep and heart health, and between sleep and dietary choices.",Heart Health,"April 17, 2020",https://www.health.harvard.edu/blog/will-a-good-nights-sleep-help-my-heart-2020041719510
"6 self-care steps for a pandemic — always important, now essential"," You’ve probably heard more about self-care lately than usual. Because our current situation is so abnormal and stressful, looking after yourself is even more important, and no one is more aware of this than doctors and other medical personnel.",Exercise & Fitness,"April 16, 2020",https://www.health.harvard.edu/blog/6-self-care-steps-for-a-pandemic-always-important-now-essential-2020041619563
Weight-loss surgery may lower risk of heart disease in people with diabetes,"Most people with type 2 diabetes also have obesity. Weight-loss surgery has a positive impact on risk factors for heart disease, and a recent study found that this surgery significantly reduced the risk of death in people with obesity and diabetes.",Heart Health,"April 16, 2020",https://www.health.harvard.edu/blog/weight-loss-surgery-may-lower-risk-of-heart-disease-in-people-with-diabetes-2020041619472
"Intimacy, sex, and COVID-19","Since most of us have been at home for several weeks, it’s natural to be thinking about intimacy with our partners. But is it safe to have sex during this time? What factors might make it unsafe?","Huma Farid, MD","April 15, 2020",https://www.health.harvard.edu/blog/intimacy-sex-and-covid-19-2020041519550
Think running is not for you? Try this,"Not a fan of running? Good news: You don’t need to run fast, far, or that often to reap benefits. And you can ease into running by doing a run/walk program, where you alternate periods of running and walking and gradually increase the time spent running.",Exercise & Fitness,"April 15, 2020",https://www.health.harvard.edu/blog/think-running-is-not-for-you-try-this-2020041519529
Keeping teens home and away from friends during COVID-19,"It may be difficult to impress on your teenage children the importance of staying home and not socializing with their friends during this pandemic, but as parents, you are  going to have to convince them. Here are some helpful tools and ideas.","Claire McCarthy, MD","April 14, 2020",https://www.health.harvard.edu/blog/keeping-teens-home-and-away-from-friends-during-covid-19-2020041419533
Home-cooked meals with less salt,"Most Americans consume far too much sodium, which raises blood pressure and the risk of heart disease. Spending this extended period of time close to home is a good opportunity to work on cutting sodium from your diet by preparing low-salt meals.",Julie Corliss,"April 14, 2020",https://www.health.harvard.edu/blog/home-cooked-meals-with-less-salt-2020041419480
Not a staycation: Isolating at home affects our mental health (and what to do),"As the COVID-19 crisis keeps us at home for longer and longer, it’s important to acknowledge that this situation is having negative effects on everyone’s mental health. Here’s how parents and families can take care of themselves in ways that go beyond normal self-care strategies.",Child & Teen Health,"April 13, 2020",https://www.health.harvard.edu/blog/not-a-staycation-isolating-at-home-affects-our-mental-health-and-what-to-do-2020041319519
Chemotherapy and hearing loss: Monitoring is essential,"One of the possible side effects of chemotherapy that is not as well-known is hearing loss. If you are going to undergo chemotherapy, you should have your hearing tested before and after the course of treatment.",Cancer,"April 13, 2020",https://www.health.harvard.edu/blog/chemotherapy-and-hearing-loss-monitoring-is-essential-2020041319457
Does CBD help with arthritis pain?,"If you have chronic arthritis pain, you may have been tempted to try cannabidiol as a treatment, or you may have tried it already. But is there any evidence that it works? Studies are finally addressing this question, and the results are just starting to come in.","Robert H. Shmerling, MD","April 10, 2020",https://www.health.harvard.edu/blog/does-cbd-help-with-arthritis-pain-2020041019418
Weight-loss drug Belviq recalled,"Findings from a follow-up on people taking the weight-loss medication Belviq showed a slight increase in the occurrence of cancers, resulting in the drug being withdrawn from the market at the request of the FDA.","Florencia Halperin, MD","April 9, 2020",https://www.health.harvard.edu/blog/weight-loss-drug-belviq-recalled-2020040919439
Allergies? Common cold? Flu? Or COVID-19?,"Anyone who experiences a symptom of illness will be concerned that it might be COVID-19, but at this time of year many people have allergy symptoms, and it’s still possible to catch a cold, although flu season is ending. Here are key symptoms of seasonal allergy, cold, flu, and COVID-19 to help you take action as needed.",,"April 9, 2020",https://www.health.harvard.edu/blog/allergies-common-cold-flu-or-covid-19-2020040919492
What’s it like to be a healthcare worker in a pandemic?,"Millions of healthcare workers on the front lines of the fight against the coronavirus have a much higher risk of becoming infected, and  are being put in further danger due to shortages of protective equipment, but they continue to do their jobs while adapting to current conditions.","Robert H. Shmerling, MD","April 8, 2020",https://www.health.harvard.edu/blog/whats-it-like-to-be-a-healthcare-worker-in-a-pandemic-2020040819485
Health coaching is effective. Should you try it?,The growing field of health and wellness coaching uses motivational techniques and positive psychology to offer people individualized support as they work to achieve their health goals.,Exercise & Fitness,"April 8, 2020",https://www.health.harvard.edu/blog/health-coaching-is-effective-should-you-try-it-2020040819444
Eating during COVID-19: Improve your mood and lower stress,"Staying at home during the COVID-19 pandemic is challenging for everyone, and the increased anxiety (and boredom) can cause people to abandon their healthy eating intentions and snack on whatever is around. But with a little thought and planning, you can continue to make good food choices and maybe even boost your mood and immunity.","Uma Naidoo, MD","April 7, 2020",https://www.health.harvard.edu/blog/eating-during-covid-19-improve-your-mood-and-lower-stress-2020040719409
"Scrubbing your hands dry? Soaps, moisturizers, and tips to help keep skin healthy","We all know we’re supposed to wash our hands thoroughly many times a day to help prevent the spread of the coronavirus, but doing so can make skin dry and cracked. What’s the best way to combat this?","Janelle Nassim, MD","April 7, 2020",https://www.health.harvard.edu/blog/scrubbing-your-hands-dry-soaps-moisturizers-and-tips-to-help-keep-skin-healthy-2020040719449
Kids fighting nonstop? How to manage during school closures,"Siblings are not used to spending so much time with each other, so if your children are fighting more during the pandemic-related school closures, here are some tips to help you manage their behavior.",Child & Teen Health,"April 6, 2020",https://www.health.harvard.edu/blog/kids-fighting-nonstop-how-to-manage-during-school-closures-2020040619462
Lifestyle changes are important even if you take medications,"People who are prescribed medication for high cholesterol or high blood pressure may be more likely to gain weight and less likely to exercise, but for those who are on such medications, it’s even more important to commit to making healthier lifestyle choices.",Exercise & Fitness,"April 6, 2020",https://www.health.harvard.edu/blog/lifestyle-changes-are-important-even-if-you-take-medications-2020040619375
Recovering from addiction during a time of uncertainty and social distancing,"Because the very nature of recovery support involves face-to-face interaction, whether in support group meetings or dispensing medication, it is at odds with the need for social distancing during the COVID-19 crisis, creating barriers to receiving support and maintaining recovery.","Howard J. Shaffer, PhD, CAS","April 3, 2020",https://www.health.harvard.edu/blog/recovering-from-addiction-during-a-time-of-uncertainty-and-social-distancing-2020040319381
EVALI: New information on vaping-induced lung injury,,"Molly Wolf, MD","April 4, 2020",https://www.health.harvard.edu/blog/evali-new-information-on-vaping-induced-lung-injury-2020040319359
How does cardiovascular disease increase the risk of severe illness and death from COVID-19?,"Initial investigation into COVID-19 focused on its respiratory effects, but a more recent report describes serious cardiovascular complications in people with pre-existing heart disease. How does this underlying condition increase risk for these people?",Heart Health,"April 2, 2020",https://www.health.harvard.edu/blog/how-does-cardiovascular-disease-increase-the-risk-of-severe-illness-and-death-from-covid-19-2020040219401
"Ranitidine (Zantac) recall expanded, many questions remain",The FDA has not yet released the results of its testing of the heartburn medication ranitidine. The testing method used by the online pharmacy that originally alerted the FDA may have affected their results.,"Joshua Gagne, PharmD, ScD","April 2, 2020",https://www.health.harvard.edu/blog/ranitidine-zantac-recall-expanded-many-questions-remain-2020040218044
Recognizing and treating depression may help improve heart health,,Heart Health,"April 15, 2020",https://www.health.harvard.edu/blog/recognizing-and-treating-depression-may-help-improve-heart-health-2020040219349
"COVID-19: If you’re older and have chronic health problems, read this","Older people who have a chronic medical condition are at increased risk for severe disease and death if they contract COVID-19. Just how old is “older,” what constitutes chronic disease, and how can you lower risks?",Men's Health,"April 1, 2020",https://www.health.harvard.edu/blog/covid-19-if-youre-older-and-have-chronic-health-problems-read-this-2020040119396
Older adults and medical marijuana: Reduced stigma and increased use,,Marijuana / CBD,"April 6, 2020",https://www.health.harvard.edu/blog/older-adults-and-medical-marijuana-reduced-stigma-and-increased-use-2-2020040119321
Is it safe to see the pediatrician for vaccines and medical visits?,Concerned about pediatric visits right now? Is it okay to wait on a child’s vaccinations or better to stick to the schedule? What about appointments for other routine matters? What is serious enough to justify the risk?,Child & Teen Health,"March 31, 2020",https://www.health.harvard.edu/blog/when-to-see-the-pediatrician-deciding-about-vaccines-and-medical-visits-right-now-2020033119384
"OK, boomer: You’re not the only one who needs testing for hepatitis C","Recent guidelines for screening for hepatitis C focused on baby boomers because that population had most of the undiagnosed infections, but because new infections are increasing fastest in those 20 to 39, the guidelines have been revised.",Men's Health,"March 31, 2020",https://www.health.harvard.edu/blog/ok-boomer-youre-not-the-only-one-who-needs-testing-for-hepatitis-c-2020033119343
Have a headache? The top 7 triggers,There are several common triggers for headaches. Identifying the one that is causing your headache is the first step toward avoiding it or ensuring you can treat it properly.,Men's Health,"March 30, 2020",https://www.health.harvard.edu/blog/have-a-headache-the-top-7-triggers-2020033019330
Thinning hair in women: Why it happens and what helps,"Hair loss affects at least a third of women, but unlike men, women are more likely to experience thinning hair than going bald. There are many possible causes and some solutions.",Kelly Bilodeau,"March 27, 2020",https://www.health.harvard.edu/blog/thinning-hair-in-women-why-it-happens-and-what-helps-2020032719267
Strategies to promote better sleep in these uncertain times,,Sleep,"April 4, 2020",https://www.health.harvard.edu/blog/strategies-to-promote-better-sleep-in-these-uncertain-times-2020032719333
Coping with the coronavirus pandemic for people with anxiety disorders,The coronavirus pandemic causing COVID-19 understandably makes most people feel anxious. Coping with the challenges is even more difficult for the many people who have a pre-existing anxiety disorder.,"John Sharp, MD","March 26, 2020",https://www.health.harvard.edu/blog/coping-with-the-coronavirus-pandemic-for-people-with-anxiety-disorders-2020032619327
Why follow a vaccine schedule?,,Vaccinations,"April 28, 2020",https://www.health.harvard.edu/blog/why-follow-a-vaccine-schedule-2020032619271
Apps to keep us connected in a time of social distancing,"The challenge of being isolated from loved ones and friends can be eased by using any of several different apps that enable various types of communication, including video calls and messages.",Heidi Godman,"March 25, 2020",https://www.health.harvard.edu/blog/apps-to-keep-us-connected-in-a-time-of-social-distancing-2020032519306
Harvard Health Ad Watch: What’s being cleansed in a detox cleanse?,"The idea of a detox diet or cleanse seems like it might be beneficial, and the advertising is certainly compelling, but these products are not regulated in any way. Evidence of beneficial effects from using them is limited, and there are reports of side effects and complications.",Men's Health,"March 25, 2020",https://www.health.harvard.edu/blog/harvard-health-ad-watch-whats-being-cleansed-in-a-detox-cleanse-2020032519294
Can telehealth help flatten the curve of COVID-19?,"Virtual health care is a convenience in ordinary times, but a valuable tool during a crisis like the one we are experiencing. Also called telehealth, telemedicine, or digital care, it allows medical staff to evaluate patients to determine possible treatment needs and whether they can remain at home.",Men's Health,"March 24, 2020",https://www.health.harvard.edu/blog/can-telehealth-help-flatten-the-curve-of-covid-19-2020032419288
Opportunities for growth: Transitions for youth with autism spectrum disorder,"For young people with autism spectrum disorder, the transition from adolescence to adulthood is marked by changes in many areas of their lives. Healthcare providers and caregivers can make this transition smoother and help their patients meet these challenges.",Child & Teen Health,"March 24, 2020",https://www.health.harvard.edu/blog/opportunities-for-growth-transitions-for-youth-with-autism-spectrum-disorder-2020032419156
Skin tag removal: Optional but effective,"Skin tags are small, benign growths of skin that frequently appear in areas of friction on the skin. They are harmless and do not need to be removed, but some find them unattractive so there are various ways this can be done.","Kristina Liu, MD, MHS","March 23, 2020",https://www.health.harvard.edu/blog/skin-tag-removal-optional-but-effective-2020032319079
What one study from China tells us about COVID-19 and children,,Infectious diseases,"March 25, 2020",https://www.health.harvard.edu/blog/what-one-study-from-china-tells-us-about-covid-19-and-children-2020032319279
Grandparenting in the time of COVID-19,"As parents grapple with school and daycare closings prompted by coronavirus, grandparents have questions about helping with child care and whether they can safely spend time with their grandchildren.","Ellen S. Glazer, LICSW","March 21, 2020",https://www.health.harvard.edu/blog/grandparenting-in-the-time-of-covid-19-2020032119261
Harvard Health Ad Watch: Are nutritional drinks actually good for you?,"If you believe ads for nutritional supplement drinks, you might think you can improve your health by drinking them. But for most people, their value is questionable and their cost adds up.",Nutrition,"September 18, 2020",https://www.health.harvard.edu/blog/harvard-health-ad-watch-are-nutritional-drinks-actually-good-for-you-2020032019204
Acoustic neuroma: A slow-growing tumor that requires specialized care,"An acoustic neuroma is a tumor in the part of the brain responsible for hearing and balance. While the symptoms can be bothersome, these tumors are not cancerous and they grow slowly, allowing time for consultation with specialists and treatment planning.","James Naples, MD","March 19, 2020",https://www.health.harvard.edu/blog/acoustic-neuroma-a-slow-growing-tumor-that-requires-specialized-care-2020031919225
Is there any good news about the coronavirus pandemic?,It’s easy to feel overwhelmed by the daily flood of news about the coronavirus and COVID-19. Here’s some positive news and reasons to feel optimism.,"Robert H. Shmerling, MD","March 24, 2020",https://www.health.harvard.edu/blog/the-coronavirus-pandemic-is-not-good-but-the-news-is-not-all-bad-2020031919247
School closed due to the coronavirus? Tips to help parents cope,Is your child’s school closed due to precautionary measures around coronavirus? Here are some tips to help parents cope.,Child & Teen Health,"March 18, 2020",https://www.health.harvard.edu/blog/school-closed-due-to-the-coronavirus-tips-to-help-parents-cope-2020031819238
What works best for treating depression and anxiety in dementia?,"There is evidence that antidepressants are not effective in older people with dementia. Emerging research suggests that nondrug, psychosocial interventions are the most effective treatments for depression or anxiety in older adults with cognitive impairment.","Stephanie Collier, MD, MPH","March 18, 2020",https://www.health.harvard.edu/blog/what-works-best-for-treating-depression-and-anxiety-in-dementia-2020031819071
How to not practice emotional distancing during social distancing,"While COVID-19 brings normal life to a temporary halt as we practice social distancing, it helps to double-down on deepening social bonds and practicing kindness and gratitude, not emotional distancing.",Men's Health,"March 17, 2020",https://www.health.harvard.edu/blog/how-to-not-practice-emotional-distancing-during-social-distancing-2020031719222
Why the human heart thrives with exercise,A study comparing the hearts of apes with four different groups of men demonstrates how the heart adapts over a person’s lifetime depending on what exercise a person does (or doesn’t do). The most revealing part of the findings pertained to men who are generally not active.,Exercise & Fitness,"March 17, 2020",https://www.health.harvard.edu/blog/why-the-human-heart-thrives-with-exercise-2020031719199
Go figure: A healthy eating approach helps people be healthy,"A study comparing the outcomes of three eating plans (Mediterranean diet, paleo diet, or intermittent fasting) that were followed for a year found that all participants lost weight, and also had added benefits such as lower blood pressure.","Monique Tello, MD, MPH","March 16, 2020",https://www.health.harvard.edu/blog/go-figure-a-healthy-eating-approach-helps-people-be-healthy-2020031618996
Pregnant and worried about the new coronavirus?,,Diseases & Conditions,"November 6, 2020",https://www.health.harvard.edu/blog/pregnant-and-worried-about-the-new-coronavirus-202003162473
How to talk to teens about the new coronavirus,,Diseases & Conditions,"March 16, 2020",https://www.health.harvard.edu/blog/how-to-talk-to-teens-about-the-new-coronavirus-2020031419192
Time to redefine normal body temperature?,Is 98.6˚ F still the norm for body temperature? Data collected over almost 160 years show that the normal body temperature has been declining and is now roughly one degree lower.,Staying Healthy,"March 17, 2020",https://www.health.harvard.edu/blog/time-to-redefine-normal-body-temperature-2020031319173
The skinny on freezing fat,"A noninvasive treatment to remove subcutaneous body fat involves the freezing of areas that leads to a reduction in the fat layer. It’s an option for people who have lost weight and are trying to get rid of stubborn remaining fat, but it is not a weight-loss treatment.","Neera Nathan, MD, MSHS","March 12, 2020",https://www.health.harvard.edu/blog/the-skinny-on-freezing-fat-2020031218990
Coping with coronavirus anxiety,Anxiety about the new coronavirus is understandable. But there are actions you can take –– or avoid –– to help you cope with anxious feelings and choices you can make to help yourself and others.,"John Sharp, MD","March 12, 2020",https://www.health.harvard.edu/blog/coping-with-coronavirus-anxiety-2020031219183
Peanut allergy: A new medicine for children may offer protection,"In children with food allergies, peanut allergy is the one most likely to cause a severe reaction. A newly approved medication made from peanut flour treats peanut allergy by giving a gradually increasing dosage over several months.",Child & Teen Health,"March 11, 2020",https://www.health.harvard.edu/blog/peanut-allergy-a-new-medicine-for-children-may-offer-protection-2020031119167
The BEEP program: Keep your balance,"As people get older, the complex system that helps them maintain balance does not work as effectively, increasing the risk of a fall. A study found that specific exercises can improve balance in older adults.",Exercise & Fitness,"March 10, 2020",https://www.health.harvard.edu/blog/the-beep-program-keep-your-balance-2020031019038
The scoop on protein powder,"The amount of protein you need depends on your age, health, and the intensity of your fitness routine. For most people it’s relatively easy to get the recommended amount from food, but there are situations when someone might want to consider a protein powder supplement.","Emily Gelsomin, MLA, RD, LDN","March 9, 2020",https://www.health.harvard.edu/blog/the-scoop-on-protein-powder-2020030918986
How to talk to children about the coronavirus,,Infectious diseases,"March 23, 2020",https://www.health.harvard.edu/blog/how-to-talk-to-children-about-the-coronavirus-2020030719111
Can stress really make hair (or fur?) turn gray?,"Does stress really turn hair gray? Scientists conducted experiments that simulated stress and led to gray hair—in mice, which does not mean it’s true for humans, regardless of what you may have heard in the media.",Men's Health,"March 6, 2020",https://www.health.harvard.edu/blog/can-stress-really-make-hair-or-fur-turn-gray-2020030619062
Surrogacy: Who decides to become a gestational carrier?,"What prompts a woman to become a surrogate or gestational carrier, carrying a child for people she may not know? The answers seem straightforward in some instances and more complex in others.","Ellen S. Glazer, LICSW","March 5, 2020",https://www.health.harvard.edu/blog/surrogacy-who-decides-to-become-a-gestational-carrier-2020030519052
Can short bouts of running lengthen lives?,"An analysis of research suggests those who run regularly –– regardless of pace, distance, or amount of time –– are more likely to live longer and have a lower risk of cardiovascular disease or cancer.",Exercise & Fitness,"March 4, 2020",https://www.health.harvard.edu/blog/can-short-bouts-of-running-lengthen-lives-2020030419058
Pain and neuromodulation: What’s all the “buzz” about?,"Neuromodulation therapies use a targeted stimulus to help people manage pain. This can be in the form of an electrical stimulation device or a pump containing medication, either of which can be implanted in the body.","Shafik Boyaji, MD","March 3, 2020",https://www.health.harvard.edu/blog/pain-and-neuromodulation-whats-all-the-buzz-about-2020030318975
Cutting down on alcohol helps if you have atrial fibrillation,"There is good evidence that the more you drink, the more likely you are to develop atrial fibrillation. A study found that people with afib who were willing to abstain from alcohol were less likely to have a recurrence.",Heart Health,"March 2, 2020",https://www.health.harvard.edu/blog/cutting-down-on-alcohol-helps-if-you-have-atrial-fibrillation-2020030218968
The role of our minds in the avoidance of falls,"In older people, the majority of falls occur when someone is standing or walking while also performing a separate cognitive or motor task. These tasks require more cognitive effort as we age, but focus and awareness can prevent falls from happening.","Brad Manor, PhD","February 28, 2020",https://www.health.harvard.edu/blog/the-role-of-our-minds-in-the-avoidance-of-falls-2020022818955
What’s new with the Nutrition Facts label?,"The Nutrition Facts label that appears on packaged foods has been updated to provide consumers with more thorough information, and also to more accurately reflect typical consumption habits.",Nutrition,"February 27, 2020",https://www.health.harvard.edu/blog/whats-new-with-the-nutrition-facts-label-2020022718948
"As coronavirus spreads, many questions and some answers",Readers have many questions about the new coronavirus (COVID-19). We have enlisted one of our experts on infectious disease to answer some of them.,Child & Teen Health,"February 27, 2020",https://www.health.harvard.edu/blog/as-coronavirus-spreads-many-questions-and-some-answers-2020022719004
New study compares long-term side effects from different prostate cancer treatments,"Prostate cancer therapies are improving over time. But how do the long-term side effects from the various options available today compare? Results from a newly published study are providing some valuable insights. Investigators at Vanderbilt University and the University of Texas MD Anderson Cancer Center spent five years tracking the sexual, bowel, urinary, and hormonal […]",Charlie Schmidt,"February 27, 2020",https://www.health.harvard.edu/blog/new-study-compares-long-term-side-effects-from-different-prostate-cancer-treatments-2020022719009
Dopamine fasting: Misunderstanding science spawns a maladaptive fad,"Dopamine is a neurotransmitter involved in the body’s system for reward and pleasure. A recent trend has people avoiding stimulating activities in the belief that doing so allows the body to reset from being overstimulated, but the original idea has been misunderstood and wrongly applied.","Peter Grinspoon, MD","February 26, 2020",https://www.health.harvard.edu/blog/dopamine-fasting-misunderstanding-science-spawns-a-maladaptive-fad-2020022618917
Co-parent adoption: A critical protection for LGBTQ+ families,"Establishing a legal relationship between parents and their children allows both parents to make care decisions. For LGBTQ+ families, this can be especially important. In some states, co-parent adoption, which offers broader protection than a state birth certificate, is available. ","Sabra L. Katz-Wise, PhD","February 25, 2020",https://www.health.harvard.edu/blog/co-parent-adoption-a-critical-protection-for-lgbtq-families-2020022518931
Puffing away sadness,"The nicotine in cigarettes stimulates the nervous system, resulting in a mood boost. But does this mean that smokers will reach for a cigarette when they are feeling sad? Researchers found that sad feelings may cause some people to smoke.",Mind & Mood,"February 24, 2020",https://www.health.harvard.edu/blog/puffing-away-sadness-2020022418913
Hands or feet asleep? What to do,"It’s happened to all of us: a hand or leg temporarily “falls asleep,” usually from being in one position for too long. Why does it happen? Are there times when you should be concerned about it?","Robert H. Shmerling, MD","February 21, 2020",https://www.health.harvard.edu/blog/hands-or-feet-asleep-what-to-do-2020022118924
C. difficile (C. diff): An urgent threat,"The bacteria known as C. diff has become a leading cause of infection among hospitalized patients. The infection is more common following antibiotic therapy, and it is challenging to treat because of a high relapse rate.","Lou Ann Bruno-Murtha, DO","February 20, 2020",https://www.health.harvard.edu/blog/c-difficile-c-diff-an-urgent-threat-2020022018862
Five healthy habits net more healthy years,"Following five healthy lifestyle habits has been shown to extend life expectancy. Better still, a recent study suggests the added years are more likely to be free of illness or disease.",Exercise & Fitness,"February 19, 2020",https://www.health.harvard.edu/blog/five-healthy-habits-net-more-healthy-years-2020021918907
Can light therapies help with bipolar disorder?,"One approach to treating bipolar disorders is manipulation of the body’s circadian rhythms. A recent review of research found that such therapies may help, often in combination with medications and psychotherapy.","Elizabeth Liebson, MD","February 18, 2020",https://www.health.harvard.edu/blog/can-light-therapies-help-with-bipolar-disorder-2020021818901
Good news for those with type 2 diabetes: Healthy lifestyle matters,"Lifestyle changes have been shown to reduce the risk of a cardiovascular event, but can they also help those with diabetes? A recent study found a positive association between healthy lifestyle choices and reduced cardiovascular risk for those with type 2 diabetes.",Exercise & Fitness,"February 17, 2020",https://www.health.harvard.edu/blog/good-news-for-those-with-type-2-diabetes-healthy-lifestyle-matters-2020021718827
What’s the best way to manage agitation related to dementia?,"When people with dementia start exhibiting agitated behaviors, doctors often prescribe medications, but these have risks of serious side effects. A new study found that nondrug interventions were more effective than medications in reducing agitation.","Stephanie Collier, MD, MPH","February 14, 2020",https://www.health.harvard.edu/blog/whats-the-best-way-to-manage-agitation-related-to-dementia-2020021418816
African American and white men who receive comparable treatments for prostate cancer have similar survival,"Last year, we reported on two studies showing that African American men respond at least as well as white men to prostate cancer treatments given in clinical trials. Nationally, African Americans with prostate cancer are more than twice as likely to die of the disease as their white counterparts, and that has fueled speculation that […]",Charlie Schmidt,"February 13, 2020",https://www.health.harvard.edu/blog/african-american-and-white-men-who-receive-comparable-treatments-for-prostate-cancer-have-similar-survival-2020021318944
"Good for your teeth, bad for your bones?","Could an ingredient in toothpaste be harmful to your bones? Triclosan, an antibacterial agent, has been banned from soaps and hand sanitizers by the FDA, and researchers have found that women with the highest levels of triclosan in their urine had low bone density measurements.","Robert H. Shmerling, MD","February 13, 2020",https://www.health.harvard.edu/blog/is-your-toothpaste-bad-for-your-bones-2020021318888
When is a heavy period too heavy?,"Girls and their parents often wonder when bleeding with a period is too heavy. It’s normal for periods to be irregular and occasionally heavy in the first few years after menstruation starts, but some signs of heavy bleeding merit a call to your child’s doctor.",Child & Teen Health,"February 12, 2020",https://www.health.harvard.edu/blog/when-is-a-heavy-period-too-heavy-2020021218877
Mind-body therapies can reduce pain and opioid use,,"Balachundhar Subramaniam , MD, MPH, FASA","February 23, 2020",https://www.health.harvard.edu/blog/mind-body-therapies-can-reduce-pain-and-opioid-use-2020021118772
Skin care shouldn’t be colorblind,"Because skin color affects the presentation of skin conditions, dermatologists must consider skin color in making diagnoses. Because of this, people of color may want to seek out a dermatologist who understands their specific needs and concerns.","Jennifer Lin, MD","February 10, 2020",https://www.health.harvard.edu/blog/skin-care-shouldnt-be-colorblind-2020021018778
When should I be concerned about ringing in my ears?,"Tinnitus is a term used to describe a ringing or noise in the ears. While not usually a serious medical condition, the distress it produces can often disrupt people’s lives. Understanding the condition and its symptoms will help determine how best to treat it.",Diseases & Conditions,"February 8, 2020",https://www.health.harvard.edu/blog/when-should-i-be-concerned-about-ringing-in-my-ears-2020020818855
What’s in a number? Looking at life expectancy in the US,"Between 1959 and 2014, average life expectancy in the United States rose astoundingly by nearly a decade. Then it began declining. A recent report examining this situation raises tough questions about that unexpected change.",Men's Health,"February 7, 2020",https://www.health.harvard.edu/blog/whats-in-a-number-looking-at-life-expectancy-in-the-us-2020020718871
"With a little planning, vegan diets can be a healthful choice","There is ample evidence to support the healthfulness of a vegan diet. However, those who choose vegan eating may not get enough of some nutrients unless they pay careful attention to their food intake, or choose to take supplements.","Katherine D. McManus, MS, RD, LDN","February 6, 2020",https://www.health.harvard.edu/blog/with-a-little-planning-vegan-diets-can-be-a-healthful-choice-2020020618766
Coronavirus: What parents should know and do,"It’s natural for parents to be worried about whether their children could be at risk from the novel coronavirus. While there is much that is still not known, common sense and simple public health precautions will help protect everyone.",Child & Teen Health,"February 5, 2020",https://www.health.harvard.edu/blog/coronavirus-what-parents-should-know-and-do-2020020518846
Infertility the second time around,"If you have a child and wish for more but are struggling with fertility issues, you may have many feelings and concerns. Here are some steps and strategies you may find helpful. ",Men's Health,"February 4, 2020",https://www.health.harvard.edu/blog/infertility-the-second-time-around-2020020418832
Newer skin cancer treatments improve prognosis for those with cutaneous melanoma,"Though only about 1% of skin cancers are melanomas, they are responsible for 90% of skin cancer deaths. Recent advances in treatment options have improved survival rates for melanoma, but it’s still best to take preventive steps to protect your skin.",Cancer,"February 3, 2020",https://www.health.harvard.edu/blog/newer-skin-cancer-treatments-improve-prognosis-for-those-with-cutaneous-melanoma-2020020318743
Be careful where you get your news about coronavirus,New information about the spread of coronavirus is coming at us seemingly every minute from many sources. But how much of this information is trustworthy? And which sources should you believe?,"Robert H. Shmerling, MD","March 16, 2020",https://www.health.harvard.edu/blog/be-careful-where-you-get-your-news-about-coronavirus-2020020118801
Hearing loss may affect brain health,"Research into a possible connection between age-related hearing loss and brain function found that there is an association, with subjects 50 or older showing signs of cognitive decline even before reaching clinically defined hearing loss.","James Naples, MD","January 31, 2020",https://www.health.harvard.edu/blog/hearing-loss-may-affect-brain-health-2020013118739
"Food allergy, intolerance, or sensitivity: What’s the difference, and why does it matter?","Many people have experienced unpleasant symptoms related to food, but such a reaction does not necessarily mean that you have a food allergy. The symptoms could indicate a food intolerance, food sensitivity, or possibly celiac disease.","Marcelo Campos, MD","January 30, 2020",https://www.health.harvard.edu/blog/food-allergy-intolerance-or-sensitivity-whats-the-difference-and-why-does-it-matter-2020013018736
Are you getting enough sleep… or too much? Sleep and stroke risk,,Sleep,"February 4, 2020",https://www.health.harvard.edu/blog/are-you-getting-enough-sleep-or-too-much-sleep-and-stroke-risk-2020012918727
How safe is exercise during pregnancy?,"While women often have questions about exercise during pregnancy, it is usually not only safe but encouraged because it can help with weight gain, lower risk for certain conditions, and boost mood and psychological well-being.","Emily Reiff, MD","January 28, 2020",https://www.health.harvard.edu/blog/how-safe-is-exercise-during-pregnancy-2020012818760
Beyond heart health: Could your statin help prevent liver cancer?,"Statins have been prescribed for decades to lower cholesterol, but a recent study found that one type of statin may provide people with certain kinds of liver disease protection from developing liver cancer.",Cancer,"January 27, 2020",https://www.health.harvard.edu/blog/beyond-heart-health-could-your-statin-help-prevent-liver-cancer-2020012718721
The new coronavirus: What we do — and don’t — know,"A novel coronavirus outbreak in Wuhan, China, has grown quickly since late December. This primer on what we do –– and don’t  –– know can help if you’re concerned about this rapidly evolving public health issue.","Todd Ellerin, MD","January 25, 2020",https://www.health.harvard.edu/blog/the-new-coronavirus-what-we-do-and-dont-know-2020012518747
Think hard before shaming children,"Parents may offer what they think is constructive criticism to a child, but there is a fine line between criticism and shaming, and shaming can have lasting effects on a child’s self-esteem.",Child & Teen Health,"January 24, 2020",https://www.health.harvard.edu/blog/think-hard-before-shaming-children-2020012418692
